Period,Department,Line_Item,Budget_Amount,Actual_Amount,Variance,Variance_Pct,Notes
2024-01-01,Sales,Equipment,12000,11640,360,3,
2024-01-01,Sales,Utilities,20000,19200,800,4,
2024-01-01,Sales,Office Supplies,31000,28830,2170,7,
2024-01-01,Engineering,Insurance,2000,2440,-440,-22,Unplanned server migration
2024-01-01,Engineering,Training,26000,30680,-4680,-18,Market expansion initiative
2024-01-01,Engineering,Salaries,408000,412080,-4080,-1,On track
2024-01-01,Engineering,Consulting,44000,40480,3520,8,
2024-01-01,Marketing,Utilities,28000,22960,5040,18,Project delayed to next quarter
2024-01-01,Marketing,Insurance,45000,36450,8550,19,Project delayed to next quarter
2024-01-01,Marketing,Salaries,172000,146200,25800,15,On track
2024-01-01,Marketing,Travel,27000,25110,1890,7,
2024-01-01,Marketing,Marketing Spend,50000,61000,-11000,-22,Emergency contractor hire
2024-01-01,Operations,Salaries,304000,364800,-60800,-20,Emergency contractor hire
2024-01-01,Operations,Insurance,33000,40590,-7590,-23,Regulatory compliance upgrade
2024-01-01,Operations,Travel,16000,17600,-1600,-10,
2024-01-01,Operations,Consulting,41000,36490,4510,11,
2024-01-01,Operations,Software Licenses,76000,91200,-15200,-20,Market expansion initiative
2024-01-01,G&A,Equipment,20000,24800,-4800,-24,Urgent equipment replacement
2024-01-01,G&A,Training,40000,49200,-9200,-23,Emergency contractor hire
2024-01-01,G&A,Salaries,434000,460040,-26040,-6,Seasonal adjustment
2024-01-01,G&A,Travel,32000,32320,-320,-1,
2024-02-01,Sales,Office Supplies,50000,56500,-6500,-13,
2024-02-01,Sales,Marketing Spend,80000,64000,16000,20,Hiring freeze savings
2024-02-01,Sales,Insurance,50000,43500,6500,13,
2024-02-01,Sales,Equipment,5000,4350,650,13,On track
2024-02-01,Engineering,Consulting,41000,37310,3690,9,Seasonal adjustment
2024-02-01,Engineering,Equipment,10000,10000,0,0,On track
2024-02-01,Engineering,Salaries,236000,202960,33040,14,
2024-02-01,Marketing,Consulting,5000,4050,950,19,Conference cancelled
2024-02-01,Marketing,Insurance,31000,38750,-7750,-25,Unplanned server migration
2024-02-01,Marketing,Office Supplies,2000,2420,-420,-21,Market expansion initiative
2024-02-01,Marketing,Utilities,34000,41140,-7140,-21,Urgent equipment replacement
2024-02-01,Operations,Marketing Spend,83000,91300,-8300,-10,
2024-02-01,Operations,Travel,15000,13050,1950,13,
2024-02-01,Operations,Utilities,22000,20460,1540,7,
2024-02-01,Operations,Salaries,242000,237160,4840,2,
2024-02-01,G&A,Salaries,206000,220420,-14420,-7,
2024-02-01,G&A,Equipment,32000,36480,-4480,-14,
2024-02-01,G&A,Utilities,25000,26750,-1750,-7,
2024-03-01,Sales,Equipment,9000,7380,1620,18,Project delayed to next quarter
2024-03-01,Sales,Consulting,34000,30940,3060,9,
2024-03-01,Sales,Training,46000,54280,-8280,-18,Regulatory compliance upgrade
2024-03-01,Sales,Software Licenses,48000,55200,-7200,-15,Within tolerance
2024-03-01,Sales,Marketing Spend,36000,31320,4680,13,
2024-03-01,Engineering,Travel,43000,49020,-6020,-14,
2024-03-01,Engineering,Training,36000,33480,2520,7,
2024-03-01,Engineering,Equipment,35000,42350,-7350,-21,Market expansion initiative
2024-03-01,Engineering,Utilities,7000,7490,-490,-7,Within tolerance
2024-03-01,Marketing,Equipment,16000,13600,2400,15,
