Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Conversions,Revenue,Target_Audience,A_B_Group,Region
MKT-001,Labor Day Deals,Search Ads,2024-08-14,2024-09-18,40100,34085,817699,72285,9975,282906,18-24,Variant_B,North America
MKT-002,Brand Awareness Q1,Content Marketing,2024-10-28,2024-12-12,29400,29106,465987,8388,459,126320,18-24,Control,Asia Pacific
MKT-003,Memorial Day Sale,Email,2023-02-02,2023-02-22,26800,24924,925927,65833,6050,159015,55+,Control,Europe
MKT-004,Black Friday Push,Email,2024-10-10,2024-11-12,40000,41200,1040712,52036,3476,142140,55+,Variant_B,Europe
MKT-005,Early Bird Deals,Display Ads,2023-03-01,2023-03-25,38000,39140,735049,4263,135,114680,35-44,Variant_B,North America
MKT-006,Cyber Monday Rush,Content Marketing,2023-03-11,2023-04-12,13900,13900,395455,19377,599,75616,35-44,Variant_A,North America
MKT-007,Green Monday Push,Content Marketing,2023-03-09,2023-03-13,1300,1222,44835,1215,59,5194,45-54,Variant_A,Europe
MKT-008,Wellness Wednesday,Email,2024-04-19,2024-05-16,6600,5940,219958,6313,580,42887,45-54,Variant_A,Asia Pacific
MKT-009,Winter Warmup,Email,2023-01-26,2023-02-28,25400,26162,857067,54252,3250,102032,25-34,Control,Europe
MKT-010,Labor Day Deals,Content Marketing,2024-03-22,2024-04-25,27600,28980,896351,25277,1512,130410,18-24,Variant_A,Asia Pacific
MKT-011,Easter Special,Search Ads,2024-08-11,2024-09-16,1800,1638,33481,1058,106,15348,35-44,Variant_A,Latin America
MKT-012,Tech Tuesday,Display Ads,2024-10-11,2024-11-22,9200,7912,80702,533,13,8703,45-54,Variant_A,North America
MKT-013,Mother's Day Campaign,Search Ads,2024-07-20,2024-07-29,39500,35550,1386095,79146,6759,342347,25-34,Variant_B,North America
MKT-014,Fresh Start January,Search Ads,2023-06-15,2023-07-18,5000,4350,74211,6575,691,49416,45-54,Control,Middle East & Africa
MKT-015,Valentine's Day Special,Display Ads,2023-10-11,2023-11-04,4700,4982,69399,146,3,6626,25-34,Variant_A,Asia Pacific
