Well_ID,Well_Name,Basin,Operator,Production_Date,Oil_BBL,Gas_MCF,Water_BBL,Days_Online,Status,Spud_Date,Latitude,Longitude
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-01-01,24420,72468,5622,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-02-01,23607,66395,5991,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-03-01,25459,77075,5271,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-04-01,18917,88700,7060,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-05-01,25030,54753,4313,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-06-01,19740,56595,5705,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-07-01,22608,60250,3376,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-08-01,10104,43404,3031,14,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-09-01,22882,56563,3942,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-10-01,19928,64403,2835,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-11-01,13368,62983,6512,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2022-12-01,16719,74180,5874,28,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-01-01,23029,83305,4798,28,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-02-01,14130,56565,4525,28,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-03-01,21758,42783,4563,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-04-01,19453,51440,3217,27,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-05-01,16104,61703,2626,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-06-01,6321,23234,1788,9,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-07-01,16941,58050,4892,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-08-01,14305,46778,2682,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-09-01,12806,32498,2960,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-10-01,17049,51085,4450,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-11-01,2017,11952,747,5,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2023-12-01,16728,50945,2129,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-01-01,16750,45960,3405,27,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-02-01,12197,50483,4494,28,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-03-01,19190,69055,3198,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-04-01,13270,71635,4666,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-05-01,12314,44353,1868,29,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-06-01,18077,68780,3745,31,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-07-01,12426,42565,4719,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-08-01,8902,39518,3507,28,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-09-01,4305,23924,763,13,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-10-01,0,0,0,0,Shut-in,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-11-01,16168,60463,2672,30,Active,2020-09-23,28.5317,-97.9922
WELL-A01,Eagle Ford 1,Eagle Ford,Frontier Drilling,2024-12-01,10543,39695,3684,28,Active,2020-09-23,28.5317,-97.9922
WELL-A02,Eagle Ford 2,Eagle Ford,Prairie Petroleum,2022-01-01,62299,211150,19699,31,Active,2023-12-25,29.1865,-98.9659
WELL-A02,Eagle Ford 2,Eagle Ford,Prairie Petroleum,2022-02-01,53273,111490,10493,27,Active,2023-12-25,29.1865,-98.9659
WELL-A02,Eagle Ford 2,Eagle Ford,Prairie Petroleum,2022-03-01,6193,27318,1427,5,Active,2023-12-25,29.1865,-98.9659
